term,estimate,robust_se,t_value,p_value
(Intercept),9.416892842000602,0.03457944639830318,272.3263042887433,0
interest_rate_num,-0.03688782898183803,0.0015152366908577383,-24.344598572884834,2.9495393823344267e-130
log_income,0.5964461625235171,0.004994812106472915,119.41313302868112,0
dti_factor>60%,0.8156201672457757,0.038891944957778576,20.97144198191219,2.7307321347084883e-97
dti_factor20%-<30%,0.17617778726025118,0.010427560350660876,16.89539847631622,6.897820991868198e-64
dti_factor30%-<36%,0.25800951926193044,0.010514358048742884,24.538780024975328,2.6666071266039307e-132
dti_factor36,0.3030235539507299,0.012443525716304981,24.35190482659368,2.472530344063972e-130
dti_factor37,0.30646450143347087,0.012205538874882323,25.108641623692797,2.1705465832761728e-138
dti_factor38,0.31268322214491107,0.012353711976986967,25.310871965235307,1.3893257680877662e-140
dti_factor39,0.3342112908379235,0.012141959108081518,27.52531843197175,9.998064219029721e-166
dti_factor40,0.340275094515135,0.01188228176707477,28.637184438600073,4.0132894841363656e-179
dti_factor41,0.3494054572039172,0.012055361815622492,28.983406931107133,2.1229929832315366e-183
dti_factor42,0.37047381770546617,0.011992145136699326,30.893039859208542,7.006053951971066e-208
dti_factor43,0.36128120667108676,0.011777882377641838,30.674547009988252,5.285002357645909e-205
dti_factor44,0.36449487682450693,0.011880246337779121,30.680750757281448,4.3814052285873624e-205
dti_factor45,0.3822008249127588,0.012150978264161177,31.45432545460515,2.30624580722678e-215
dti_factor46,0.39303861619303204,0.012184266551531922,32.25788064720363,2.657698540760069e-226
dti_factor47,0.41249890484779145,0.012449848425173177,33.1328455384029,1.629217825460208e-238
dti_factor48,0.4253842743139503,0.011925577211318844,35.669910711760615,1.0669972447062823e-275
dti_factor49,0.45852875090015216,0.011553817712500237,39.68634111338484,0
dti_factor50%-60%,0.39198779594388855,0.010978569158277302,35.70481638295725,3.14971564683017e-276
loan_term_num,2.63222315324691e-4,4.372651637325807e-5,6.0197412727273765,1.757319222065143e-9
occupancy_factor2,-0.17893014661478096,0.015078293230930476,-11.866737426735881,1.9198327345619621e-32
occupancy_factor3,-0.4020513401157695,0.012233966808350769,-32.863530399750125,1.0104258132795885e-234
construction_method_factor2,-0.6729895748289855,0.02986407044939728,-22.5350919918744,5.645898627475243e-112
total_units_factor2,-0.02329085375322676,0.02630520970668916,-0.8854084043779403,0.3759400382424609
total_units_factor3,0.17374041317669167,0.04816631537428679,3.6070937090911803,3.099034127805899e-4
total_units_factor4,0.2552051874496959,0.05543592835840351,4.603606271365156,4.161082888088068e-6
county_factor24003,0.6046025679583987,0.01782932290849577,33.91057366908209,1.238806554584962e-249
county_factor24005,0.46719060893598946,0.01777723952636944,26.28026743089069,2.4479637882506885e-151
county_factor24009,0.5676807947099065,0.019343997525110755,29.34661224873457,6.124810803106543e-188
county_factor24011,0.37732239193291744,0.02303940874881621,16.37726019997387,3.7847872204032934e-60
county_factor24013,0.573941399066679,0.01879332841743276,30.53963546629073,3.0902101939403776e-203
county_factor24015,0.43767433253004734,0.019407353198281477,22.551984706951355,3.867644566402515e-112
county_factor24017,0.5000876346120172,0.01807832943745956,27.662270252460427,2.385944653391881e-167
county_factor24019,0.34208808307511307,0.02495619757008206,13.707540265878261,1.0653609970114321e-42
county_factor24021,0.593023302429314,0.01815225625667644,32.669399001636435,5.245854112601447e-232
county_factor24023,0.4587460409766066,0.035666313421370104,12.862165919894059,8.269849051788396e-38
county_factor24025,0.47640658853109313,0.018105268517296276,26.31314681005552,1.0402904858846726e-151
county_factor24027,0.6899285545305427,0.018614906152444075,37.06323034241875,3.107939258433457e-297
county_factor24029,0.4460641013139255,0.03026027080093218,14.740915712498657,4.312041523251019e-49
county_factor24031,0.7240402116979956,0.018206029863525784,39.76925321585613,0
county_factor24033,0.5142293914018087,0.01771569166727224,29.026774740711367,6.134182446605291e-184
county_factor24035,0.6334707776768141,0.02144881081266071,29.53407455591393,2.645420703818809e-190
county_factor24037,0.4971625040652087,0.01902091824154465,26.137671049935342,9.894601501997984e-150
county_factor24039,0.2188751103072795,0.032273332979236895,6.781918385934703,1.1971278727786536e-11
county_factor24041,0.6093697296339601,0.027206981770281424,22.3975498193476,1.2158635369873202e-110
county_factor24043,0.383995355250011,0.019001969426414123,20.20818719538773,1.6910455238128443e-90
county_factor24045,0.31835853157233607,0.019547533085054174,16.28637896081882,1.667668335081695e-59
county_factor24047,0.5073176673231419,0.02150745740314349,23.587988938617784,1.913642933088444e-122
county_factor24510,0.242264097984782,0.017757474482830004,13.64293656843101,2.582172221264635e-42
