term,estimate,robust_se,t_value,p_value
(Intercept),9.835459989000132,0.13781683496582692,71.36617229265883,0
interest_rate_num,-0.0808772837469167,0.008851544441596249,-9.13708158847945,9.840354244643944e-20
log_income,0.6030953562523123,0.014738398745786918,40.92000539914226,1.961924634386365e-307
dti_factor>60%,0.724129000007635,0.14006496171487945,5.169951079426233,2.4527485286339995e-7
dti_factor20%-<30%,0.18042247428931818,0.030220570482036895,5.970187571295561,2.5697100462267944e-9
dti_factor30%-<36%,0.2507329653767984,0.0302625165419394,8.285264876413017,1.5769602997835213e-16
dti_factor36,0.2588624146643553,0.03842073789991917,6.737570094011647,1.833585213999601e-11
dti_factor37,0.2696277452139734,0.04141474876451196,6.51042812663434,8.393934094140931e-11
dti_factor38,0.30510671862456273,0.03934287387437704,7.755069433889794,1.1054871362142334e-14
dti_factor39,0.3039359310432486,0.03655272455021519,8.315000722468971,1.2328446762985818e-16
dti_factor40,0.33305849348199734,0.036924222713800955,9.020054289660429,2.8230881606317316e-19
dti_factor41,0.3672208884496246,0.035201863246869955,10.431859412506432,3.6437027652726493e-25
dti_factor42,0.32974632316116254,0.03557723076182095,9.268465141896984,2.968647272285869e-20
dti_factor43,0.3405680252765532,0.03585079035145812,9.499596018326042,3.468092555502466e-21
dti_factor44,0.348853650978058,0.03694133024142505,9.44345124277259,5.869175780572802e-21
dti_factor45,0.3719574280801148,0.03989364255930543,9.323726895260746,1.7847166589664163e-20
dti_factor46,0.37230701570835395,0.0388440022939972,9.584671859776119,1.5540005787680125e-21
dti_factor47,0.42935695665802914,0.03769106300970846,11.391479103347004,1.2751937203025194e-29
dti_factor48,0.3988345500153424,0.03639114085612965,10.959660528151964,1.4311648783198908e-27
dti_factor49,0.42252744672253306,0.036605522454142045,11.542724113604956,2.3453798939628318e-30
dti_factor50%-60%,0.33969104274634865,0.03270994671184903,10.384946381563413,5.8889619790122715e-25
loan_term_num,1.0640670072241469e-4,1.873011572280097e-4,0.5681048761107294,0.5699947460555937
occupancy_factor2,-0.017285955178478054,0.04764228927796397,-0.36282797154488006,0.716752025497962
occupancy_factor3,-0.3910185717077206,0.04745222221280336,-8.24025837934767,2.285348130764586e-16
construction_method_factor2,-0.44174926389665814,0.10429609514912974,-4.235530230206746,2.3299727134157988e-5
total_units_factor2,-0.06611235662138412,0.07414081210818282,-0.8917134131861956,0.37259868672394925
total_units_factor3,0.25188307170727037,0.17267133343063715,1.4587428422706479,0.14471220292242265
total_units_factor4,0.10660145470285566,0.2338897186886922,0.4557765741073145,0.6485746950387337
county_factor24003,0.5779883385689496,0.08146815980485939,7.094653174361672,1.5197340502782313e-12
county_factor24005,0.4525048793679352,0.08098140885262803,5.587762497333367,2.4488416989476917e-8
county_factor24009,0.5424784302218315,0.08482489145855976,6.39527408634355,1.7814929442529418e-10
county_factor24011,0.3661799439259261,0.10385070522627789,3.5260226989124934,4.264492618399381e-4
county_factor24013,0.5259610582230797,0.08261868815536338,6.366126961904995,2.1509974074914917e-10
county_factor24015,0.3887266720130097,0.08876798631503592,4.379131352979282,1.2211459859311421e-5
county_factor24017,0.43121561405862485,0.08377864093392463,5.147082946818393,2.7691440587867656e-7
county_factor24019,0.16860504529662987,0.10829338937692093,1.556928324680937,0.1195643852739548
county_factor24021,0.5561394605489234,0.08312491868090444,6.690406070456469,2.5248164772753153e-11
county_factor24023,0.4204121891703214,0.10676147620462673,3.9378641445958387,8.357024991988543e-5
county_factor24025,0.43821502824457864,0.08216534416463767,5.333331621742025,1.0160570183515649e-7
county_factor24027,0.6698674967740201,0.08369129374657358,8.004028457278393,1.5529558260033552e-15
county_factor24029,0.32417495776174576,0.11518299354934926,2.8144342126587945,0.004909527846987335
county_factor24031,0.7790244597696014,0.08161138564369959,9.545536491325855,2.250031632037464e-21
county_factor24033,0.45441443829347783,0.0809567774194784,5.613049985165844,2.1187686978617282e-8
county_factor24035,0.5126127184918134,0.09720429586658696,5.273560329014421,1.4067450851970463e-7
county_factor24037,0.4995509399766305,0.08608475660894638,5.803012747610122,7.003349464737065e-9
county_factor24039,0.3146102483022022,0.1736458406704637,1.8117925951319134,0.07009109904864722
county_factor24041,0.5475811257682833,0.09320464795331013,5.87504097480834,4.561584552345838e-9
county_factor24043,0.31974343173542585,0.08620446557671001,3.7091284029932137,2.10716594771231e-4
county_factor24045,0.3159667136797416,0.08887420220795395,3.555212939525702,3.819192700097302e-4
county_factor24047,0.5159302328378492,0.09102603375420944,5.667941483982217,1.544145196758381e-8
county_factor24510,0.21182109321838377,0.0812974884713922,2.605505990420867,0.009206899864801865
