"model","n","interest_beta","robust_se","p_value","adjusted_r2","pct_change_per_1pp_rate"
"Model A - HMDA controls",4167,-0.0808772837469167,0.00885154444159625,9.84035424464394e-20,0.702911024063999,-7.76931334568908
"Model B - Property controls",4167,-0.0405362866029151,0.00584056188606973,4.52333769709934e-12,0.856357115557002,-3.9725681213695
"Model C - Mortgage-product controls",4167,-0.0483317874199931,0.00604638931294072,1.69178648556404e-15,0.865207760815431,-4.71823982665576
"Model D - Lender fixed effects",4167,-0.0471444768483987,0.00747104028080364,3.10269934180228e-10,0.872028486966057,-4.6050435992809
"Model E - Local-market controls",4167,-0.0426504397791027,0.00710387281110437,2.10666535423373e-09,0.879572237358978,-4.17537036843165
"Model F - Census tract fixed effects",4167,-0.0356126268354411,0.0084970942578158,2.86701205479712e-05,0.909309197945472,-3.49859583684016
"Model E - IPW sensitivity",4167,-0.0373983752011774,0.00803353409302228,3.34513604232327e-06,0.869511486698989,-3.67076928663386
