term,estimate,robust_se,t_value,p_value
(Intercept),8.578622758713738,0.1307584037440569,65.60666475789435,0
interest_rate_num,-0.04053628660291507,0.005840561886069733,-6.940477199564954,4.523337697099337e-12
log_income,0.2573052189745372,0.013642968681710053,18.859914214967304,3.761718306486451e-76
dti_factor>60%,0.26407228378402003,0.07627399870448602,3.46215339787199,5.413519878806588e-4
dti_factor20%-<30%,0.0637037341257367,0.021419824877113632,2.9740548529788406,0.0029560639135156044
dti_factor30%-<36%,0.09750620206070258,0.021741780446018502,4.484738602838691,7.500200115848974e-6
dti_factor36,0.09841321227471925,0.02672330014223291,3.682674360985423,2.3377627253738987e-4
dti_factor37,0.10640530760933123,0.029645174168023373,3.5892960859749246,3.354539226997274e-4
dti_factor38,0.127116940339992,0.02806524149343527,4.529337129335796,6.0852176492007965e-6
dti_factor39,0.1174868660070063,0.025685751302120155,4.574009326225497,4.926174685948324e-6
dti_factor40,0.12939636379637495,0.026564085241918188,4.871101813518773,1.1516812110867233e-6
dti_factor41,0.1369504354088158,0.028041608248537863,4.88382956480239,1.0801405743509036e-6
dti_factor42,0.14002339277370215,0.026139582755679885,5.3567569950318505,8.938115503995236e-8
dti_factor43,0.09310528426617273,0.02558076414442161,3.639660009393276,2.7636634556089067e-4
dti_factor44,0.13929717108489337,0.0260986605738346,5.337330269912271,9.943012904630965e-8
dti_factor45,0.15323403026431107,0.02805251816333499,5.462398397609451,4.976179310940733e-8
dti_factor46,0.1420741816946573,0.028989372800087034,4.900905675828583,9.908501742025809e-7
dti_factor47,0.14314479963293458,0.02727985311194524,5.247271642025619,1.6217834719030747e-7
dti_factor48,0.15851496204344775,0.026611376152271812,5.956661584745415,2.7906363813405217e-9
dti_factor49,0.16367321548964633,0.025916292097953653,6.315456504002359,2.9806378012302325e-10
dti_factor50%-60%,0.1273697960034887,0.02439996559441504,5.220080967353603,1.8770949120785478e-7
loan_term_num,1.4228517793360014e-4,1.271372147877287e-4,1.1191465706651103,0.26314322347395214
occupancy_factor2,0.14250388216032023,0.04195374434411445,3.39669043581593,6.885563451474521e-4
occupancy_factor3,-0.18023146426781173,0.029863779511848963,-6.0351190376389505,1.7291174027905353e-9
construction_method_factor2,-0.17176113258140308,0.0605838642849285,-2.8350970115343443,0.004603625404108052
total_units_factor2,-0.10358434893541697,0.07484356829321608,-1.3840113626010266,0.16643036248377102
total_units_factor3,0.07906562824344784,0.08972168554516359,0.8812320874605977,0.37824390832613
total_units_factor4,0.019582300390605396,0.11603023404401999,0.16876894674862233,0.8659867159670358
county_factor24003,0.9160966209921784,0.06968721944455386,13.145834032323016,1.0804821352192855e-38
county_factor24005,0.6732913061163394,0.06872761872632113,9.796517304017751,2.0502135984318844e-22
county_factor24009,0.7143289592379533,0.07064834049328061,10.111050793979985,9.355922927816298e-24
county_factor24011,0.4533195320903531,0.08343306401767099,5.433331946125588,5.852449158031089e-8
county_factor24013,0.6358531502484797,0.06914858826759682,9.195461052477363,5.800724430976075e-20
